eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_loss,validation_loss
0.001,1e-05,300,64,[10],"['relu', 'linear']",RMSprop,0.004641983157838262,0.0029930317305999327
0.001,1e-05,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.011355781442344701,0.009418376307414104
0.001,1e-05,300,64,[30],"['relu', 'linear']",SGD,0.004260086614455791,0.007503718033195633
0.001,1e-05,300,64,[30],"['relu', 'linear']",adam,0.010411718863914027,0.026559768049433746
0.001,1e-05,300,64,[30],"['relu', 'linear']",adagrad,2.1434526849087625,3.7451856131491845
0.001,1e-05,300,64,[30],"['relu', 'linear']",RMSprop,0.0050829685317007834,0.011021578523315386
0.001,1e-05,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.012724172371687941,0.01108348453678729
0.001,1e-05,300,64,[50],"['relu', 'linear']",SGD,0.006587119917418077,0.011115435367558546
0.001,1e-05,300,64,[50],"['relu', 'linear']",adam,0.03343562117422555,0.03031794633020281
0.001,1e-05,300,64,[50],"['relu', 'linear']",adagrad,1.274771209745706,1.2618413925226502
0.001,1e-05,300,64,[50],"['relu', 'linear']",RMSprop,0.018545488986559285,0.02617949574801982
1e-05,0.1,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,0.2177232223183557,0.2259539220024549
1e-05,0.1,300,64,[10],"['relu', 'linear']",SGD,0.6046761052355671,0.9366977459043518
1e-05,0.1,300,64,[10],"['relu', 'linear']",adam,3.3137679319190303,7.149350004129852
1e-05,0.1,300,64,[10],"['relu', 'linear']",adagrad,3.696866308048345,4.565878301022481
1e-05,0.1,300,64,[10],"['relu', 'linear']",RMSprop,19.538751187666,19.346759286369437
1e-05,0.1,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.5529503883626513,0.5055107637790652
1e-05,0.1,300,64,[30],"['relu', 'linear']",SGD,0.33982958965342164,0.5564813156957695
1e-05,0.1,300,64,[30],"['relu', 'linear']",adam,81.6269282593239,87.79398932806427
1e-05,0.1,300,64,[30],"['relu', 'linear']",adagrad,26.411985076166832,26.134287994615647
1e-05,0.1,300,64,[30],"['relu', 'linear']",RMSprop,102.31621949470744,109.10381824066216
