eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_accuracy,validation_accuracy
0.0001,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.29523809523809524,0.26666666666666666
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.20952380952380953,0.2
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.0001,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.3523809523809524,0.35555555555555557
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.3047619047619048,0.3333333333333333
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.0001,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.0001,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.6666666666666666,0.6666666666666666
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.34285714285714286,0.35555555555555557
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.0001,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.0,0.0
1e-05,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.18095238095238095,0.1111111111111111
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.5904761904761905,0.5111111111111111
